joint_number,J. len [ft],Wt [in],dist_to_us_weld,dist_to_ds_weld,distance_along_line,feature_type,ID/OD,depth_percent,Depth [in],OD Reduction [%],OD Reduction [in],Comments,Anomalies per Joint,Tool Velocity [ft/s],Elevation [ft],Seam Position (TFI),Tool   (TFI),Seam Anomaly  (TFI),MOP [PSI],SMYS [PSI],Seam Type,Pdesign [PSI],B31G Psafe [PSI],B31G Pburst [PSI],Mod B31G Psafe [PSI],Mod B31G Pburst [PSI],Effective Area Psafe [PSI],Effective Area Pburst [PSI],ERF,RPR,run_year,row_index,distance_raw_m,dist_to_us_weld_m,clock_position_deg,length_mm,width_mm,distance_corrected_m
4160.02,,0.5,-0.21,3.6,14968.48,metal loss,External,12.0,0.06,,,,,0.7,42.57,,MFL-A/XT,,1160.0,60000.0,,1800.0,,,,,,,,,2015,550,4562.392704,-0.064008,209.0,42.925999999999995,34.036,4562.392704
4160.02,,0.5,-0.26,3.55,14968.53,metal loss,External,19.0,0.095,,,,,0.7,42.57,,MFL-A/XT,,1160.0,60000.0,,1800.0,1964.25,2728.13,,,,,,,2015,551,4562.4079440000005,-0.07924800000000001,225.0,34.036,36.068,4562.4079440000005
4160.02,,0.5,-0.31,3.5,14968.58,metal loss,External,15.0,0.075,,,,,0.7,42.57,,MFL-A/XT,,1160.0,60000.0,,1800.0,1965.26,2729.53,,,,,,,2015,552,4562.423184,-0.094488,181.5,38.099999999999994,35.05199999999999,4562.423184
4160.02,,0.5,-0.56,3.25,14968.83,metal loss,External,10.0,0.05,,,,,0.7,42.57,,MFL-A/XT,,1160.0,60000.0,,1800.0,,,,,,,,,2015,553,4562.499384000001,-0.17068800000000003,126.5,40.894,41.91,4562.499384000001
4160.02,,0.5,-1.14,2.67,14969.41,metal loss,External,11.0,0.055,,,,,0.7,42.57,,MFL-A/XT,,1160.0,60000.0,,1800.0,,,,,,,,,2015,554,4562.676168,-0.347472,209.0,16.002,14.985999999999999,4562.676168
4160.02,,0.5,-1.36,2.46,14969.63,metal loss,External,11.0,0.055,,,,,0.7,42.57,,MFL-A/XT,,1160.0,60000.0,,1800.0,,,,,,,,,2015,555,4562.743224,-0.41452800000000006,162.5,22.098,30.987999999999996,4562.743224
4160.02,,0.5,-1.54,2.27,14969.81,cluster,External,26.0,0.13,,,,,0.7,42.57,,,,1160.0,60000.0,,1800.0,1937.39,2690.82,2050.66,2848.14,2050.82,2848.37,0.57,2.46,2015,556,4562.7980880000005,-0.46939200000000003,125.5,49.022,212.34399999999997,4562.7980880000005
4160.02,,0.5,-1.74,2.07,14970.01,metal loss,External,15.0,0.075,,,,,0.7,42.57,,MFL-A/XT,,1160.0,60000.0,,1800.0,1972.77,2739.96,,,,,,,2015,557,4562.859048,-0.530352,203.5,25.907999999999998,23.875999999999998,4562.859048
4160.02,,0.5,-1.85,1.96,14970.12,metal loss,External,11.0,0.055,,,,,0.7,42.57,,MFL-A/XT,,1160.0,60000.0,,1800.0,,,,,,,,,2015,558,4562.892576,-0.56388,121.5,37.083999999999996,75.946,4562.892576
4160.02,,0.5,-1.9,1.91,14970.17,metal loss,External,14.0,0.07,,,,,0.7,42.57,,MFL-A/XT,,1160.0,60000.0,,1800.0,1965.15,2729.37,,,,,,,2015,559,4562.907816,-0.57912,143.0,40.132,29.971999999999998,4562.907816
4160.02,,0.5,-2.3,1.51,14970.57,metal loss,External,10.0,0.05,,,,,0.7,42.58,,MFL-A/XT,,1160.0,60000.0,,1800.0,,,,,,,,,2015,560,4563.029736,-0.70104,145.5,33.019999999999996,72.898,4563.029736
4160.02,,0.5,-2.31,1.5,14970.58,metal loss,External,22.0,0.11,,,,,0.7,42.58,,MFL-A/XT,,1160.0,60000.0,,1800.0,1966.25,2730.9,2084.58,2895.25,2085.64,2896.73,0.56,2.5,2015,561,4563.032784,-0.704088,124.5,28.955999999999996,34.036,4563.032784
4160.02,,0.5,-3.55,0.26,14971.82,metal loss,External,13.0,0.065,,,near girth weld,,0.7,42.57,,MFL-A/XT,,1160.0,60000.0,,1800.0,1973.82,2741.42,,,,,,,2015,562,4563.410736,-1.08204,116.0,25.907999999999998,26.924,4563.410736
4160.02,,0.5,-3.58,0.23,14971.85,metal loss,External,13.0,0.065,,,near girth weld,,0.7,42.57,,MFL-A/XT,,1160.0,60000.0,,1800.0,1972.38,2739.42,,,,,,,2015,563,4563.41988,-1.0911840000000002,79.0,28.955999999999996,53.08599999999999,4563.41988
